[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\pygments\filters\__init__.py first seen with mtime 1607002956.790114
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\sqlparse\cli.py first seen with mtime 1602772657.0326748
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\codecs.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1607232640.3948846
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\asyncio\locks.py first seen with mtime 1583843946.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1607232641.1543808
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\urls\conf.py first seen with mtime 1607232641.124461
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\cffi\api.py first seen with mtime 1606751720.6615322
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\DLLs\unicodedata.pyd first seen with mtime 1583844336.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1606776299.898129
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1607232639.7388103
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\lzma.py first seen with mtime 1583843942.0
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\openid\kvform.py first seen with mtime 1606751716.9771428
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1606776299.9021182
[06/Dec/2020 23:36:10] DEBUG [django.utils.autoreload:364] File C:\Users\vdono\AppData\Local\Programs\Python\Python37-32\Lib\site-packages\rest_framework\views.py first seen with mtime 1606776299.7524724
